Time,X,Y,Pitch,Roll,Yaw
70.294,0.120,-0.203,-0.827,-3.296,1.223,
70.467,0.276,-0.383,0.045,-2.495,1.292,
70.617,0.011,-0.275,0.739,-3.299,1.354,
70.768,0.301,-0.234,0.350,-3.221,1.181,
70.940,-0.235,0.093,1.115,-2.338,1.392,
71.120,0.079,-0.172,-0.008,-2.553,1.475,
71.294,-0.020,-0.015,0.956,1.611,1.258,
71.466,-0.080,0.025,0.254,-2.237,1.199,
71.639,0.137,-0.113,-0.110,-2.133,1.339,
71.813,0.039,0.052,1.366,-3.011,1.262,
71.994,0.062,0.172,1.401,-3.229,1.460,
72.177,0.022,-0.051,0.521,1.026,1.245,
72.342,-0.010,-0.033,1.483,-3.101,1.427,
72.512,0.004,0.010,1.544,-2.435,1.411,
72.685,0.002,-0.036,1.766,0.302,1.213,
72.846,0.061,-0.059,1.094,-2.489,1.426,
73.022,0.255,-0.246,-2.995,-3.098,1.119,
73.197,0.019,0.193,-1.902,-2.511,1.011,
73.361,0.057,-0.281,1.069,-2.394,1.408,
73.522,0.110,-0.192,0.845,1.129,1.106,
73.682,-0.017,-0.007,0.489,-1.739,1.311,
73.824,-0.077,0.101,-0.828,0.422,1.467,
73.975,-0.139,-0.111,-0.882,1.748,1.442,
74.123,0.134,-0.122,-1.003,0.325,1.464,
74.283,0.007,0.028,0.102,-1.963,1.450,
74.453,0.322,-0.262,-0.808,0.867,1.407,
74.620,0.302,-0.215,-1.211,-3.272,1.172,
74.800,0.109,-0.052,-0.598,-3.352,1.304,
74.967,0.187,-0.458,-1.201,-3.298,1.282,
75.147,0.050,-0.386,-2.469,-3.996,1.105,
75.305,0.077,-0.139,-0.900,-3.666,1.249,
75.469,-0.003,-0.330,-2.005,-4.130,1.234,
75.629,0.020,-0.196,-2.170,-4.217,1.151,
75.801,0.155,-0.051,-1.586,-4.558,1.136,
75.961,0.094,-0.301,-1.093,-3.905,1.159,
76.130,0.059,-0.171,-2.711,-4.617,1.096,
76.298,0.071,-0.459,-0.476,-3.643,1.230,
76.451,0.084,-0.269,-1.696,-4.104,1.163,
76.614,0.114,-0.501,-1.671,-3.798,1.064,
76.771,0.133,-0.301,0.330,-3.056,1.378,
